qsp_code,nqual,tier,po_id,po_title,eos,conditions,critical_events,assessment_type,duration_min,pass_standard,deliverable,environment,target_role,nice_dcwf_task,component_version,scenario_count,build_hours,status
ALJQ,ALJQ,gate,PO_001-005,Foundational Knowledge/Skills Assessment (FKSA),-,Mod1 knowledge; limited tools,foundational skills,PC written+practical,480,70% both parts,short-answer practical,CSTE,-,n/a,v2.1.0,2,80,todo
ALJQ,ALJQ,core,PO_006,Analyze DND Network Traffic,006.01;006.02,target network; sensors; NOC,network architecture identification,PC written+practical,180,70%,short-answer practical,COTE,Cyber Defense Analyst,TODO-map,v2.1.0,3,120,todo
ALJQ,ALJQ,core,PO_007,Analyze Malicious Activity in Network Traffic,007.01;007.02;007.03,pcap; IDS; NOC,scanning;exfiltration;lateral_movement,PC practical,240,P/F,technical report (template),COTE,Cyber Defense Analyst,TODO-map,v2.1.0,4,200,todo
ALJQ,ALJQ,core,PO_008,Triage Potential Malware,008.01;008.02;008.03,binaries; sandbox,static+dynamic findings,PC practical,240,P/F,technical report,COTE,Cyber Defense Forensics Analyst,TODO-map,v2.1.0,3,160,todo
ALJQ,ALJQ,core,PO_009,Analyze Malicious Activity in Logs,009.01;009.02;009.03;009.04,host+cloud logs; SIFT,scanning;exfiltration;lateral_movement,PC practical,240,P/F,technical report,COTE,Cyber Defense Analyst,TODO-map,v2.1.0,5,240,example
ALJQ,ALJQ,core,PO_010,Respond to Cyber Incidents,010.01;010.02,multi-host incident; range,complete reconstructable timeline,PC practical capstone,780,P/F,complete technical report,COTE,Cyber Defense Incident Responder,TODO-map,v2.1.0,3,300,todo
TEMP67,ACPZ,core,PO_008,Defend a Network under Attack,multiple,threat info; mission scenario; operational env,defend under live attack w/ noise floor + false positives,PC practical capstone,960,P/F,IR reporting,COTE,Senior Cyber Defense Analyst,TODO-map,v2.1.0,6,400,todo
TEMP67,ACPZ,core,PO_TODO,Remaining Cpl POs,TODO,TODO,TODO,TODO,0,TODO,TODO,COTE,TODO,TODO-map,v2.1.0,0,0,needs_spec
TEMP64,ALRA-RED,core,PO_001,Conduct Cyber Reconnaissance,001.01 passive;001.02 active,analyst wksn; internet; SOC/NOC,recon completeness; OPSEC,PC practical,0,P/F,recon report,COTE,Adversary Emulation (DCWF),TODO-map-DCWF,v2.1.0,4,200,offensive_author
TEMP64,ALRA-RED,core,PO_002,Gain Access / Exploitation,see QSP,framework; targets,exploitation objectives,PC practical,0,P/F,report,COTE,Adversary Emulation (DCWF),TODO-map-DCWF,v2.1.0,5,260,offensive_author
TEMP64,ALRA-RED,core,PO_003,Post-Exploitation,see QSP,foothold; range,lateral movement; persistence; C2,PC practical,0,P/F,report,COTE,Adversary Emulation (DCWF),TODO-map-DCWF,v2.1.0,5,300,offensive_author
TEMP64,ALRA-RED,core,PO_004,Threat Emulation vs Blue Team,004.01;004.02;004.03;004.04,adversary package; MSEL; Blue Team; range w/ CA + noise floor,emulate named actor; post-exercise debrief,PC practical 3-day team MSEL capstone,1440,P/F,emulation + debrief,COTE,Adversary Emulation (DCWF),TODO-map-DCWF,v2.1.0,4,400,offensive_author
ALRA,ALRA,gate,PO_001,Analyse Low Level Code,001.01-001.04,C + assembly; x86 ref,assembly translation + analysis,critical EC practical,240,P/F 3-part,3-part assessment,CSTE-sterile,Malware Reverse Engineer,TODO-map,v2.1.0,1,60,todo
ALRA,ALRA,gate,PO_002,Conduct Static Analysis,-,binaries; REMnux,static analysis findings,PC practical (SANS FOR610 delivers instruction),0,P/F,report,CSTE-sterile,Malware Reverse Engineer,TODO-map,v2.1.0,2,120,cots_gate
ALRA,ALRA,gate,PO_003,Conduct Dynamic Analysis,-,sterile detonation host,dynamic analysis findings,PC practical (COTS-backed),0,P/F,report,CSTE-sterile,Malware Reverse Engineer,TODO-map,v2.1.0,2,120,cots_gate
ALRA,ALRA,gate,PO_004,Conduct Memory Forensics,-,clean malware analysis env (SANS FOR526),memory forensics findings,PC practical capstone (COTS-backed),0,P/F,report,CSTE-sterile,Malware Reverse Engineer,TODO-map,v2.1.0,1,80,cots_gate
