template_id,os_family,version,role,hypervisor,base_iso,iso_source,license_gate,sensor_baked,build_hours,golden_gb,reuse_tier,enabled,os_aliases_in_ranges,used_by_ranges,used_by_pos,packer_status,notes
win-xp-sp3,windows,XP SP3,legacy victim,vsphere,licensed media (no eval),volume-license media,yes,no,10,12,med,no,-,-,-,none,DISABLED. Confirm licensing + EO justification. Isolated no-egress ranges ONLY. Prefer win7.
win7-sp1,windows,7 SP1,legacy victim,vsphere,licensed media (no eval),volume-license media,yes,yes,10,25,med,yes,-,-,-,todo(vsphere),Default legacy/vulnerable host. No public eval ISO - needs entitled media.
win10-22h2,windows,10 22H2,victim/analyst workstation,vsphere,Win10_Enterprise_Eval_x64.iso,MS Eval Center,no,yes,14,35,very_high,yes,windows-10-ltsc,large-enterprise,PO_007;PO_009,exists(proxmox);todo(vsphere),Workhorse image. NOTE range alias 'windows-10-ltsc' is LTSC - confirm 22H2 vs LTSC channel.
win11-24h2,windows,11 24H2,current-estate victim,vsphere,Win11_Enterprise_Eval_x64.iso,MS Eval Center,no,yes,14,40,high,yes,windows-11,large-enterprise;medium-enterprise;red-team;red-vs-blue;soc-training,-,todo(vsphere),Pairs with EDR-present scenarios. No packer file yet.
srv2016,windows,Server 2016,legacy DC/file,vsphere,SERVER_2016_EVAL_x64FRE_en-us.iso,MS Eval Center,no,yes,12,30,med,yes,-,-,-,todo(vsphere),Legacy AD/file. Distinct eval ISO from 2019/2022.
srv2019,windows,Server 2019,DC/DNS/DHCP/Exchange/IIS/MSSQL base,vsphere,SERVER_2019_EVAL_x64FRE_en-us.iso,MS Eval Center,no,yes,16,35,very_high,yes,windows-server-2019,large-enterprise;red-team,PO_007;PO_009,todo(vsphere),Build once - derive role snapshots. Distinct eval ISO from 2022.
srv2022,windows,Server 2022,modern DC/member,vsphere,SERVER_EVAL_x64FRE_en-us.iso,MS Eval Center,no,yes,14,35,high,yes,windows-server-2022,large-enterprise;medium-enterprise;red-team;red-vs-blue;soc-training,-,exists(proxmox+vsphere+hyperv),Current estate. vSphere packer present.
kali,linux,rolling,analyst/attacker workstation,vsphere,kali-linux-2024.1-installer-amd64.iso,https://cdimage.kali.org/kali-2024.1/,no,no,10,30,very_high,yes,kali-2024,red-team;red-vs-blue;soc-training,PO_007,exists(proxmox+vsphere),Red Analyst + triage labs. vSphere packer present.
ubuntu-lts,linux,24.04,web/app/db victim,vsphere,ubuntu-24.04-live-server-amd64.iso,https://releases.ubuntu.com/24.04/,no,yes,8,15,high,yes,ubuntu-2204,cloud-security;large-enterprise;medium-enterprise;red-team;red-vs-blue;soc-training,-,exists(proxmox+vsphere+hyperv - 22.04),DISCREPANCY: catalogue=24.04 but packer files ship 22.04.3. Pick one before build.
rocky,linux,9,enterprise linux victim,vsphere,Rocky-9-latest-x86_64-dvd.iso,https://download.rockylinux.org/pub/rocky/9/,no,yes,8,15,med,yes,-,-,-,todo(vsphere),Enterprise linux victim.
remnux,linux,latest,malware analysis workstation,vsphere,derived from ubuntu-lts (REMnux installer),https://remnux.org (on-box mirror),no,no,10,25,high,yes,-,-,-,todo(vsphere),ALRA static/dynamic. Built on ubuntu base - no distinct ISO.
sift,linux,latest,DFIR/forensics workstation,vsphere,derived from ubuntu-lts (SIFT installer),SANS SIFT (on-box mirror),no,no,10,30,high,yes,-,-,-,todo(vsphere),Log analysis + IR capstones. Built on ubuntu base - no distinct ISO.
securityonion,linux,2.4,sensor + telemetry appliance,vsphere,securityonion-2.4.10-20240220.iso,https://securityonionsolutions.com,no,n/a,16,60,very_high,yes,securityonion,soc-training,PO_007;PO_009,exists(proxmox);todo(vsphere),Baked into most range templates - OpenSearch feed. Sensor appliance.
pfsense,appliance,latest,range gateway/firewall,vsphere,pfSense-CE-2.7.2-RELEASE-amd64.iso,https://www.pfsense.org/download/,no,n/a,6,4,very_high,yes,pfsense;pfsense-2.7,cloud-security;large-enterprise;medium-enterprise;red-team;red-vs-blue;soc-training,-,exists(proxmox);todo(vsphere),VLAN isolation + no egress. Range gateway on every topology.
svc-emulators,linux,-,DNS/NTP/mail service emulation,vsphere,derived from ubuntu-lts,built on-box,no,yes,12,20,high,yes,-,-,-,todo(vsphere),Red Analyst internet-service emulation. No distinct ISO.
ca-host,linux,-,certificate authority,vsphere,derived from ubuntu-lts,built on-box,no,yes,8,10,med,yes,-,-,-,todo(vsphere),Red Analyst signed-cert requirement. No distinct ISO.
usersim,linux,-,user-simulation / traffic generator,vsphere,derived from ubuntu-lts,built on-box,no,no,20,15,very_high,yes,-,-,PO_007;PO_009,todo(vsphere),THE NOISE FLOOR - generates false positives / benign traffic. No distinct ISO.
precomp-host,windows,10/2019,pre-compromised start-state,vsphere,derived from win10-22h2 / srv2019 snapshot,derived,no,yes,12,35,very_high,yes,-,-,PO_007;PO_009,derived,Staged artifacts for log/IR analysis start. Snapshot of a base Windows image - no ISO.
c2-server,linux,-,C2 (Cobalt Strike/Sliver/Empire),vsphere,derived from kali/ubuntu base,AUTHOR-REQUIRED,no,no,8,20,med,no,-,-,-,none,DISABLED / AUTHOR-REQUIRED. Standards/instructor. Red Analyst only.
blueteam-soc,mixed,-,blue-team SOC stack,vsphere,derived (multi-service),built on-box,no,yes,20,80,med,yes,-,-,-,todo(vsphere),Live Red-v-Blue MSEL (TEMP64 PO_004). Composite stack.
detonation-host,windows,10,sterile malware detonation,vsphere,derived from win10-22h2,derived,no,no,12,35,high,yes,-,-,-,derived,Isolated dynamic analysis (ALRA) - no egress ever.
cloudlog-emu,linux,-,cloud log emulation (Azure/AWS sets),vsphere,derived from ubuntu-lts,built on-box,no,n/a,10,20,med,yes,-,-,PO_009,todo(vsphere),ALJQ 009.03 cloud analysis EO. Serves emulated cloud log sets.
GAP-vyos,appliance,1.4,software router,vsphere,vyos-1.4-rolling.iso,https://vyos.io,no,n/a,4,2,-,no,vyos-1.4,red-vs-blue,-,none,*** GAP: used by red-vs-blue range but NOT in vm_catalogue.csv. Decide: add golden image OR swap to pfsense. Not authoritative until Standards adds it.
